dataset,n,minority,mean_m,marg_undercov_a0.1,mond_undercov_a0.1,mond_setsize_a0.1,marg_undercov_a0.2,mond_undercov_a0.2,mond_setsize_a0.2
Ahn2021,114,51,10.5,-0.0085,-0.0183,1.87,-0.0116,-0.0241,1.722
Arita2018,168,57,11.5,0.0102,-0.0223,1.638,0.0681,-0.0473,1.427
BraTS-2021,577,276,55.0,0.0013,-0.0045,1.781,0.0198,0.0036,1.534
Brancato2023,58,23,5.0,-0.04,-0.1,2.0,-0.086,-0.052,1.583
C4KC-KiTS,70,24,5.0,-0.026,-0.1,1.898,-0.002,-0.04,1.623
Colorectal-Liver-Metastases,90,14,3.0,-0.0533,-0.1,1.939,0.0067,-0.2,1.778
Dai2023,119,31,6.5,0.0019,-0.1,1.913,0.084,-0.0621,1.545
Deng2023,261,94,19.0,0.07,0.0063,1.468,0.1016,0.0268,1.143
Dong2022,279,136,27.5,-0.0212,-0.0469,1.777,-0.0005,-0.0425,1.459
Fusco2022,54,21,4.5,-0.025,-0.1,2.0,-0.014,0.0105,1.546
Granata2021,88,41,8.5,-0.0371,-0.05,1.825,-0.0669,-0.0458,1.581
Granata2024,51,13,2.0,0.07,-0.1,2.0,0.09,-0.2,1.839
HCC-TACE-Seg,84,12,2.5,0.02,-0.1,1.949,0.2017,-0.2,1.819
HNSCC,93,25,5.0,-0.022,-0.1,1.877,-0.064,-0.03,1.336
Head-Neck-PET-CT,91,30,6.0,-0.0667,-0.1,1.854,-0.01,-0.02,1.373
Head-Neck-Radiomics-HN1,137,61,12.0,-0.0333,-0.005,1.646,-0.025,-0.04,1.326
Hosny2018A,293,134,27.0,0.0144,-0.0256,1.82,0.007,-0.0185,1.574
Hosny2018B,207,60,12.0,-0.0308,-0.0208,1.686,-0.0275,-0.0467,1.454
Hosny2018C,183,50,10.0,0.004,-0.002,1.86,0.014,-0.021,1.685
Huang2023,212,97,19.0,0.0125,0.001,1.107,-0.0385,0.0135,0.875
Hunter2023,520,238,48.0,0.0194,-0.0168,1.464,0.0421,-0.0121,1.156
ISPY1,161,69,14.0,-0.0214,-0.0464,1.885,0.0007,0.0043,1.595
Keek2020,273,119,24.0,-0.0104,-0.0025,1.721,-0.0146,0.0188,1.427
LGG-1p19qDeletion,159,57,11.5,0.0447,-0.0125,1.602,0.0473,-0.037,1.337
LNDb,173,58,12.0,-0.0845,-0.0282,1.43,-0.1373,-0.06,1.222
Li2020,51,19,4.0,-0.01,-0.1,2.0,-0.02,0.02,1.425
Lu2019,75,20,4.0,-0.03,-0.1,1.887,0.0075,0.035,1.408
Meningioma-SEG-CLASS,88,38,8.0,-0.06,-0.1,1.862,-0.0475,-0.1,1.574
NSCLC-Radiogenomics,144,23,4.5,0.0435,-0.1,1.913,0.04,-0.0135,1.594
OcanaTienda2023,67,32,6.0,-0.0286,-0.1,2.0,-0.0629,-0.0771,1.747
PI-CAI,969,332,66.5,-0.0052,-0.0076,1.634,-0.0122,-0.0025,1.337
Petrillo2023,128,47,9.5,0.0004,0.0016,1.893,0.0197,-0.0046,1.728
Prostate-MRI-US-Biopsy,773,177,35.5,-0.0058,-0.0145,1.654,-0.0246,-0.0059,1.356
QIN-HEADNECK,59,15,3.0,-0.0033,-0.1,1.902,0.02,-0.2,1.787
Ramella2018,91,41,8.0,-0.0289,-0.1,1.858,0.0044,-0.0789,1.588
Sasaki2019,138,68,14.0,-0.035,-0.0336,1.842,-0.04,0.0114,1.551
Song2020,260,127,25.5,0.0273,-0.0134,1.129,0.0212,-0.0006,0.857
UCSF-PDGM,418,45,9.0,0.0689,-0.0178,1.409,0.1067,0.0011,1.056
UPENN-GBM,187,79,16.0,-0.0175,-0.04,1.813,0.0088,-0.0206,1.581
Veeraraghavan2020,150,47,9.5,0.0226,-0.0131,1.841,0.028,-0.0444,1.661
WORC-CRLM,77,37,7.0,-0.035,-0.1,2.0,0.0312,-0.0812,1.729
WORC-Desmoid,203,72,14.5,-0.0077,-0.0354,1.708,0.0084,-0.01,1.35
WORC-GIST,245,121,24.0,-0.0133,-0.0183,1.714,-0.0554,0.0,1.351
WORC-Lipo,114,57,11.5,-0.0242,-0.0154,1.517,-0.0605,-0.0363,1.261
WORC-Liver,186,92,18.0,-0.0247,-0.0611,1.795,-0.05,-0.0468,1.528
WORC-Melanoma,95,47,9.5,-0.006,0.016,1.823,0.0152,0.0056,1.642
Wang2024,67,27,5.0,-0.005,-0.1,2.0,-0.0383,-0.0367,1.549
Zhang2023,203,99,20.0,-0.0135,-0.013,1.755,-0.0445,-0.019,1.515
Zhang2024A,255,110,22.0,-0.025,-0.0027,1.587,-0.0318,-0.0105,1.326
Zhang2024B,192,66,13.0,-0.0123,-0.0285,1.806,0.0577,-0.0746,1.605
